Column 1
Prophet Muhammad(saw)
Abu Bakr As-Siddique
'Umar ibn al-Khattab
'Uthman ibn 'Affaan
Ali ibn Abi Talib
Talha ibn 'Ubaidullah
Zubayr ibn al-Awwam
'Abdur Rahman Ibn 'Awf
Sa'd ibn Abi Waqqas
Abu 'Ubaidah ibn al-Jarrah
Sa'id bin Zayd
Mus'ab ibn 'Umair
Abu Hurairah
Salman Farsi
Zayd ibn Harithah
ibn Mas'ud
ibn Abbas
ibn Umar
Anas bin Malik
Hamza ibn 'Abd al-Muttalib
Ja'far ibn Abi Talib
Khalid bin al-Walid
Abu Dharr al-Ghaffari
Bilal ibn Ribah
'Ammar ibn Yasir
'Abdullah bin Jahsh
Mu'awiya ibn Abu Sufyan
'Amr bin al-'Aas
'Abdullah bin 'Amr bin al-'Aas
Hassan ibn Ali bin Abi Talib
Hussain ibn 'Ali ibn Abi Talib
Mu'adh ibn Jabal
Abu Ayyub al-Ansari
Jabir ibn 'Abdullah
Sa'd ibn 'Ubadah
Sa'd ibn ar-Rabi'
Abu al-Darda
Abu Sa'id al-Khudri
Ubayy ibn Ka'b
'Ubada bin As-Samit
Abu Musa al-Asha'ari
Malik bin Sinan
Nawfal bin Mu'awiyah al-Dayli
al-Hubab ibn al-Mundhir
Usaid bin Hudair bin Sammak
Sa'd ibn Mua'dh
'Abdullah bin Zayd
'Abdullah ibn Rawaha
Zayd ibn Thabit
Usamah ibn Zayd
Khadijah
Sawda bint Zam'a
'Aisha bint Abi Bakr
Hafsa bint Umar
Zaynab bint Khazeemah
Umm Salamah
Zaynab bint Jahsh
Juwayriya bint al-Harith
Umm Habibah bint Abi Sufyan
Safiyya bint Huyayy
Maymuna bint al-Harith
Maria al-Qibtiyya
Fatima bint Muhammad
Liala bint Abi Hathmah
Sehlah bint Suhayl
al-Khansa
al-Nahdiya
Arwa bint al-Harith
Asma bint 'Umays
Asma' bint Abi Bakr
Umm Atiyyah Ansariyah
Hamnah bint Jahsh
Hind bint Awf
Hind bint 'Utba b. Rabi'a b. 'Abd Shams
Ruqayqa bint Abi Sayfi bin Hashim
Khawlah bint Hakim
Fatima bint Asad
Fatima bint al-Khattab
Umm 'Ammarah Nasaybah
Najiyah/'Atika/Fakhta bint al-Walid
Qaraybah bint Abi Umayyah al-Sugra
Faree'ah bint Malik
Umm Sulaym bint Milhan
Asma' bint Yazid bin al-Sakan
Safiyya bint ‘Abd al-Muttalib
Salma bint 'Umays
Umm al-Darda
Sirin
Sumayyah bint Khayyat
Thuwaybah
Umm Ruman
Umamah bint Zainab
Umm Hakim
Umm Kulthum bint Muhammad
Umm Kulthum bint 'Uqba
Asma bint Sa'id bin Zayd
Zaynab bint Muhammad
Zaynab bint 'Ali bin Abi Talib
