Column 1
Umayya bin Hind al-Mazni
Iyas bin al-Harith bin Ma'yqyb
Ja'far bin Mus'ab Hjazy
Hryz Aw Abu Hryz
Hzam bin Hkym bin Hzam
Khalid bin Kysan Hjazy
Da'ud bin Abi Salah
Rdad al-Lythy Wqal B'd'hm Abu
Sa'id bin Hsan Hjazy
Sa'id bin 'Abdur Rahman bin Jahsh
Sufyan bin Abi al-Wja'a
Salmah bin al-Azrq Hjazy
Sulaiman bin Abi Yahya
Salah bin Sa'id Hijazi
Skhr bin Ishaq Mwla
Skhr bin 'Abdullah
Safwan bin Mwhb Hjazy
Tarq bin 'Abdur Rahman
Tarq bin Mhasn
Tariq bin al-Marqa' Hijazi
'Asim bin 'Umar
'Abdullah bin 'Abdur Rahman al-Ansari
'Abdullah bin Abd
'Abdullah bin Aby
'Abdullah bin Asmh
'Abdullah bin Malik bin Hudhafa
'Abdullah bin Harun
'Abdullah bin Yonus Hijazi
'Ubaidullah bin Abd
'Uthman bin 'Abdullah
Athym Bsyghh al-Tsghyr
'Amarah bin Thuban
Amarh bin Maymun
'Umar bin Ata'a bin Wraz
'Amr bin 'Abdullah
'Amr bin 'Umayr
'Amr bin Qtad'h al-Ymamy
Anbs'h bin Amar al-Dwsy
'Isa bin Ma'ql bin Aby
'Isa bin Ma'mr Hjazy
Muhammad bin Thabit bin Shrhbyl
Muhammad bin 'Imran al-Hjby
Mjald bin Awf
Muslim bin Thfnh
Muslim bin Mkhraq Mwla
Muslim bin Yazid al-Sa'dy
Musa bin Badhan
Yazid bin Abd al-Mzny Hjazy
Abu Thamama al-Hanat/al-Khiyat
Aus bin Abi Aws
Ibrahim bin 'Ikrama bin Ya'la bin Umayya
Ibrahim bin 'Abdur Rahman
Ibrahim bin 'Abdur Rahman al-Dhry
Ibrahim bin Abi Hdyd al-Awdy
Ibrahim bin Rashid
Ibrahim al-Jhny
Ibrahim bin S'aid
Ibrahim bin Malik al-Ashtr
Ibrahim bin Isma'il Shykh
Ibrahim bin 'Abdullah bin al-Mhrz
Ibrahim bin 'Abdullah bin Kathir
Ibrahim bin Ubaid Shykh
Ibrahim bin 'Abdullah
Ibrahim bin Yhns
Ibrahim bin 'Umayr Shykh
Ibrahim bin Isma'il
Ibrahim Mwla Abi Hryrh
Isma'il bin Ibrahim
Isma'il bin Jstas
Isma'il bin al-Hasan al-Twary
Isma'il bin S'aid bin Rmanh
Isma'il bin Ubaid al-A'wr
